feature,mean_abs_shap
Cycle_YES,1.2280032844182505
HypoA_Yes,1.2280032844182505
HypoA_No,1.1747737260511024
Cycle_NO,1.1747737260511024
Ludwig,1.1088732057479436
mfg result,1.0351970430873938
GAGS_score,1.004588532197277
Month_t-1,0.149063741179225
Month_t-5,0.11780307108663288
Month_t-4,0.1002651842481336
Month_t-2,0.10009636185541619
Month_t-3,0.04858856062640484
LowerAbdomen,0.03657842833740464
UpperLip,0.030889915624787958
Thigh,0.029682205165604658
Month_t-6,0.026484167031822048
UpperArm,0.025225417298470866
UpperBack,0.02458849188126439
Chest,0.016318631977140785
Chin,0.015878858202605282
UpperAbdomen,0.011735693730765816
LowerBack,0.007469288391833871
mFG_score,0.0017703160771093528
